935,22,01/04/2016 05:00:00
319,1,01/04/2016 05:00:00
339,9,01/04/2016 05:00:00
133,31,01/04/2016 05:00:00
333,5,01/04/2016 05:00:00
322,13,01/04/2016 05:00:00
513,21,01/04/2016 05:00:00
944,6,01/04/2016 05:00:00
430,1,01/04/2016 05:00:00
139,74,01/04/2016 05:00:00
423,3,01/04/2016 05:00:00
520,31,01/04/2016 05:00:00
137,20,01/04/2016 05:00:00
524,6,01/04/2016 05:00:00
216,8,01/04/2016 05:00:00
519,12,01/04/2016 05:00:00
124,8,01/04/2016 05:00:00
517,9,01/04/2016 05:00:00
940,4,01/04/2016 05:00:00
227,26,01/04/2016 05:00:00
522,2,01/04/2016 05:00:00
913,2,01/04/2016 05:00:00
425,2,01/04/2016 05:00:00
225,15,01/04/2016 05:00:00
119,6,01/04/2016 05:00:00
128,10,01/04/2016 05:00:00
212,12,01/04/2016 05:00:00
335,2,01/04/2016 05:00:00
331,1,01/04/2016 05:00:00
223,24,01/04/2016 05:00:00
122,23,01/04/2016 05:00:00
416,4,01/04/2016 05:00:00
526,6,01/04/2016 05:00:00
418,8,01/04/2016 05:00:00
906,5,01/04/2016 05:00:00
427,1,01/04/2016 05:00:00
126,21,01/04/2016 05:00:00
117,34,01/04/2016 05:00:00
912,3,01/04/2016 05:10:00
941,35,01/04/2016 05:10:00
419,7,01/04/2016 05:10:00
118,108,01/04/2016 05:10:00
532,64,01/04/2016 05:10:00
116,61,01/04/2016 05:10:00
426,5,01/04/2016 05:10:00
332,2,01/04/2016 05:10:00
901,10,01/04/2016 05:10:00
222,2,01/04/2016 05:10:00
130,18,01/04/2016 05:10:00
518,8,01/04/2016 05:10:00
134,61,01/04/2016 05:10:00
127,13,01/04/2016 05:10:00
138,7,01/04/2016 05:10:00
327,5,01/04/2016 05:10:00
523,39,01/04/2016 05:10:00
219,30,01/04/2016 05:10:00
945,9,01/04/2016 05:10:00
439,17,01/04/2016 05:10:00
527,17,01/04/2016 05:10:00
336,10,01/04/2016 05:10:00
525,14,01/04/2016 05:10:00
318,11,01/04/2016 05:10:00
521,26,01/04/2016 05:10:00
226,46,01/04/2016 05:10:00
903,3,01/04/2016 05:10:00
440,8,01/04/2016 05:10:00
121,8,01/04/2016 05:10:00
136,31,01/04/2016 05:10:00
433,47,01/04/2016 05:10:00
220,44,01/04/2016 05:10:00
529,37,01/04/2016 05:10:00
934,33,01/04/2016 05:10:00
330,13,01/04/2016 05:10:00
215,4,01/04/2016 05:10:00
132,13,01/04/2016 05:10:00
334,10,01/04/2016 05:10:00
422,16,01/04/2016 05:10:00
415,36,01/04/2016 05:10:00
530,33,01/04/2016 05:10:00
224,38,01/04/2016 05:10:00
910,8,01/04/2016 05:10:00
329,28,01/04/2016 05:10:00
916,26,01/04/2016 05:10:00
428,18,01/04/2016 05:10:00
112,49,01/04/2016 05:10:00
936,10,01/04/2016 05:10:00
325,17,01/04/2016 05:10:00
510,32,01/04/2016 05:10:00
211,32,01/04/2016 05:10:00
514,106,01/04/2016 05:10:00
516,34,01/04/2016 05:10:00
314,11,01/04/2016 05:10:00
321,29,01/04/2016 05:10:00
932,4,01/04/2016 05:10:00
914,9,01/04/2016 05:10:00
123,13,01/04/2016 05:10:00
943,8,01/04/2016 05:10:00
213,8,01/04/2016 05:10:00
437,1,01/04/2016 05:10:00
512,13,01/04/2016 05:10:00
338,29,01/04/2016 05:10:00
420,7,01/04/2016 05:10:00
534,13,01/04/2016 05:10:00
316,9,01/04/2016 05:10:00
217,8,01/04/2016 05:10:00
125,10,01/04/2016 05:10:00
509,35,01/04/2016 05:10:00
114,19,01/04/2016 05:10:00
424,13,01/04/2016 05:10:00
905,9,01/04/2016 05:10:00
129,25,01/04/2016 05:10:00
417,11,01/04/2016 05:10:00
907,8,01/04/2016 05:10:00
432,41,01/04/2016 05:10:00
528,37,01/04/2016 05:10:00
315,1,01/04/2016 05:10:00
911,4,01/04/2016 05:10:00
221,44,01/04/2016 05:10:00
113,23,01/04/2016 05:10:00
115,49,01/04/2016 05:10:00
326,26,01/04/2016 05:10:00
531,36,01/04/2016 05:10:00
218,7,01/04/2016 05:10:00
337,36,01/04/2016 05:10:00
120,8,01/04/2016 05:10:00
421,92,01/04/2016 05:10:00
324,24,01/04/2016 05:10:00
317,7,01/04/2016 05:10:00
434,23,01/04/2016 05:10:00
533,21,01/04/2016 05:10:00
131,25,01/04/2016 05:10:00
214,7,01/04/2016 05:10:00
933,14,01/04/2016 05:10:00
515,46,01/04/2016 05:10:00
429,17,01/04/2016 05:10:00
135,26,01/04/2016 05:10:00
414,16,01/04/2016 05:10:00
328,20,01/04/2016 05:10:00
210,115,01/04/2016 05:10:00
511,73,01/04/2016 05:10:00
140,221,01/04/2016 05:10:00
935,47,01/04/2016 05:10:00
319,1,01/04/2016 05:10:00
339,13,01/04/2016 05:10:00
133,63,01/04/2016 05:10:00
333,7,01/04/2016 05:10:00
322,29,01/04/2016 05:10:00
513,66,01/04/2016 05:10:00
944,12,01/04/2016 05:10:00
430,7,01/04/2016 05:10:00
139,118,01/04/2016 05:10:00
423,9,01/04/2016 05:10:00
520,39,01/04/2016 05:10:00
137,31,01/04/2016 05:10:00
524,18,01/04/2016 05:10:00
320,2,01/04/2016 05:10:00
216,12,01/04/2016 05:10:00
519,21,01/04/2016 05:10:00
124,14,01/04/2016 05:10:00
517,14,01/04/2016 05:10:00
940,25,01/04/2016 05:10:00
438,1,01/04/2016 05:10:00
227,52,01/04/2016 05:10:00
522,15,01/04/2016 05:10:00
913,2,01/04/2016 05:10:00
425,5,01/04/2016 05:10:00
225,22,01/04/2016 05:10:00
111,2,01/04/2016 05:10:00
119,16,01/04/2016 05:10:00
128,14,01/04/2016 05:10:00
212,20,01/04/2016 05:10:00
335,4,01/04/2016 05:10:00
331,14,01/04/2016 05:10:00
223,75,01/04/2016 05:10:00
122,39,01/04/2016 05:10:00
416,13,01/04/2016 05:10:00
526,11,01/04/2016 05:10:00
418,17,01/04/2016 05:10:00
906,17,01/04/2016 05:10:00
427,9,01/04/2016 05:10:00
126,31,01/04/2016 05:10:00
117,81,01/04/2016 05:10:00
912,3,01/04/2016 05:20:00
941,46,01/04/2016 05:20:00
419,7,01/04/2016 05:20:00
118,154,01/04/2016 05:20:00
532,97,01/04/2016 05:20:00
116,84,01/04/2016 05:20:00
426,6,01/04/2016 05:20:00
332,5,01/04/2016 05:20:00
901,11,01/04/2016 05:20:00
222,7,01/04/2016 05:20:00
130,32,01/04/2016 05:20:00
518,16,01/04/2016 05:20:00
134,104,01/04/2016 05:20:00
127,17,01/04/2016 05:20:00
138,14,01/04/2016 05:20:00
327,7,01/04/2016 05:20:00
523,53,01/04/2016 05:20:00
219,42,01/04/2016 05:20:00
945,13,01/04/2016 05:20:00
439,19,01/04/2016 05:20:00
527,20,01/04/2016 05:20:00
336,18,01/04/2016 05:20:00
525,20,01/04/2016 05:20:00
318,14,01/04/2016 05:20:00
521,57,01/04/2016 05:20:00
226,52,01/04/2016 05:20:00
903,7,01/04/2016 05:20:00
440,10,01/04/2016 05:20:00
121,16,01/04/2016 05:20:00
136,50,01/04/2016 05:20:00
433,73,01/04/2016 05:20:00
909,3,01/04/2016 05:20:00
220,55,01/04/2016 05:20:00
529,60,01/04/2016 05:20:00
934,57,01/04/2016 05:20:00
330,24,01/04/2016 05:20:00
215,8,01/04/2016 05:20:00
132,27,01/04/2016 05:20:00
334,12,01/04/2016 05:20:00
422,24,01/04/2016 05:20:00
415,57,01/04/2016 05:20:00
530,56,01/04/2016 05:20:00
224,54,01/04/2016 05:20:00
910,13,01/04/2016 05:20:00
329,36,01/04/2016 05:20:00
